text,label,label_id
Yoyyooo u know how to change permissions for a drive in mac. My usb flash drive,ham,0
Am watching house – very entertaining – am getting the whole hugh laurie thing – even with the stick – indeed especially with the stick.,ham,0
Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min Gsex POBOX 2667 WC1N 3XX,spam,1
"Sure, I'll see if I can come by in a bit",ham,0
I borrow ur bag ok.,ham,0
"FREE RINGTONE text FIRST to 87131 for a poly or text GET to 87131 for a true tone! Help? 0845 2814032 16 after 1st free, tones are 3x£150pw to e£nd txt stop",spam,1
I dont know oh. Hopefully this month.,ham,0
Den wat will e schedule b lk on sun?,ham,0
"Uh, heads up we don't have THAT much left",ham,0
Hard LIVE 121 chat just 60p/min. Choose your girl and connect LIVE. Call 09094646899 now! Cheap Chat UK's biggest live service. VU BCM1896WC1N3XX,spam,1
"Sir, i am waiting for your call, once free please call me.",ham,0
"My planning usually stops at ""find hella weed, smoke hella weed""",ham,0
Nt joking seriously i told,ham,0
Ranjith cal drpd Deeraj and deepak 5min hold,ham,0
Ü give me some time to walk there.,ham,0
"Sorry, was in the bathroom, sup",ham,0
Aiyar hard 2 type. U later free then tell me then i call n scold n tell u.,ham,0
Ü takin linear algebra today?,ham,0
Not able to do anything.,ham,0
PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code: 49557 Expires 26/11/04,spam,1
Nokia phone is lovly..,ham,0
Oh ho. Is this the first time u use these type of words,ham,0
Then why no one talking to me,ham,0
Why you keeping me away like this,ham,0
So that means you still think of teju,ham,0
CHEERS U TEX MECAUSE U WEREBORED! YEAH OKDEN HUNNY R UIN WK SAT?SOUNDS LIKEYOUR HAVIN GR8FUN J! KEEP UPDAT COUNTINLOTS OF LOVEME XXXXX.,ham,0
Ü thk of wat to eat tonight.,ham,0
Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng,ham,0
No shoot me. I'm in the docs waiting room. :/,ham,0
Thanks 4 your continued support Your question this week will enter u in2 our draw 4 £100 cash. Name the NEW US President? txt ans to 80082,spam,1
How r ü going to send it to me?,ham,0
+449071512431 URGENT! This is the 2nd attempt to contact U!U have WON £1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. max£7. 50,spam,1
"Babe! I fucking love you too !! You know? Fuck it was so good to hear your voice. I so need that. I crave it. I can't get enough. I adore you, Ahmad *kisses*",ham,0
"Erm … ill pick you up at about 6.45pm. That'll give enough time to get there, park and that.",ham,0
If u dun drive then how i go 2 sch.,ham,0
"Beautiful Truth against Gravity.. Read carefully: ""Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it.."" GOODMORNING",ham,0
"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327. T&C: RSTM, SW7 3SS. 150ppm",spam,1
Think + da. You wil do.,ham,0
U horrible gal... U knew dat i was going out wif him yest n u still come n ask me...,ham,0
"As a SIM subscriber, you are selected to receive a Bonus! Get it delivered to your door, Txt the word OK to No: 88600 to claim. 150p/msg, EXP. 30Apr",spam,1
"What will we do in the shower, baby?",ham,0
Yup... Hey then one day on fri we can ask miwa and jiayin take leave go karaoke ,ham,0
my ex-wife was not able to have kids. Do you want kids one day?,ham,0
wamma get laid?want real doggin locations sent direct to your mobile? join the UKs largest dogging network. txt dogs to 69696 now!nyt. ec2a. 3lp £1.50/msg.,spam,1
"Nothing. I meant that once the money enters your account here, the bank will remove its flat rate. Someone transfered  &lt;#&gt;  to my account and  &lt;#&gt; dollars got removed. So the banks differ and charges also differ.be sure you trust the 9ja person you are sending account details to cos...",ham,0
Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com,ham,0
Prof: you have passed in all the papers in this sem congrats . . . . Student: Enna kalaachutaarama..!! Prof:???? Gud mrng!,ham,0
"After my work ah... Den 6 plus lor... U workin oso rite... Den go orchard lor, no other place to go liao...",ham,0
yay! finally lol. i missed our cinema trip last week :-(,ham,0
Ü no home work to do meh... ,ham,0
No no:)this is kallis home ground.amla home town is durban:),ham,0
Havent.,ham,0
I probably won't eat at all today. I think I'm gonna pop. How was your weekend? Did u miss me?,ham,0
Dont worry. I guess he's busy.,ham,0
"Do 1 thing! Change that sentence into: ""Because i want 2 concentrate in my educational career im leaving here..""",ham,0
Congrats kano..whr s the treat maga?,ham,0
"Sorry to trouble u again. Can buy 4d for my dad again? 1405, 1680, 1843. All 2 big 1 small, sat n sun. Thanx.",ham,0
"Thanks for your ringtone order, reference number X29. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989180",spam,1
Hi 07734396839 IBH Customer Loyalty Offer: The NEW NOKIA6600 Mobile from ONLY £10 at TXTAUCTION!Txt word:START to No:81151 & get Yours Now!4T&,spam,1
"K, wat s tht incident?",ham,0
You flippin your shit yet?,ham,0
How's ur paper?,ham,0
Yes princess! I want to please you every night. Your wish is my command...,ham,0
When're you guys getting back? G said you were thinking about not staying for mcr,ham,0
"Had your contract mobile 11 Mnths? Latest Motorola, Nokia etc. all FREE! Double Mins & Text on Orange tariffs. TEXT YES for callback, no to remove from records.",spam,1
Excellent! Wish we were together right now!,ham,0
"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589",spam,1
Hey!!! I almost forgot ... Happy B-day babe ! I love ya!!,ham,0
I'm home. Ard wat time will u reach?,ham,0
"Sometimes we put walls around our hearts,not just to be safe from getting hurt.. But to find out who cares enough to break the walls &amp; get closer.. GOODNOON:)",ham,0
U don't remember that old commercial?,ham,0
Cos i was out shopping wif darren jus now n i called him 2 ask wat present he wan lor. Then he started guessing who i was wif n he finally guessed darren lor.,ham,0
Anything lor... U decide...,ham,0
"Sorry vikky, i'm Watching olave mandara movie kano in trishul theatre wit my frnds..",ham,0
Ok i will tell her to stay out. Yeah its been tough but we are optimistic things will improve this month.,ham,0
Dude how do you like the buff wind.,ham,0
Happy New Year Princess!,ham,0
alright. Thanks for the advice. Enjoy your night out. I'ma try to get some sleep...,ham,0
"Ok. Can be later showing around 8-8:30 if you want + cld have drink before. Wld prefer not to spend money on nosh if you don't mind, as doing that nxt wk.",ham,0
Me sef dey laugh you. Meanwhile how's my darling anjie!,ham,0
"Fuck babe, I miss you sooooo much !! I wish you were here to sleep with me ... My bed is so lonely ... I go now, to sleep ... To dream of you, my love ...",ham,0
"Nothing, smsing u n xy lor. Sorry lor da guys neva c u in person but they sort of know u lor. So u wan 2 meet them xy ask me 2 bring u along 4 our next meeting.",ham,0
How is your schedule next week? I am out of town this weekend.,ham,0
"Ah, well that confuses things, doesn‘t it?",ham,0
HI ITS KATE CAN U GIVE ME A RING ASAP XXX,ham,0
I don't run away frm u... I walk slowly &amp; it kills me that u don't care enough to stop me...,ham,0
Convey my regards to him,ham,0
"Yeah we wouldn't leave for an hour at least, how's 4 sound?",ham,0
Ujhhhhhhh computer shipped out with address to sandiago and parantella lane. Wtf. Poop.,ham,0
"Yes, princess. Toledo.",ham,0
"Say this slowly.? GOD,I LOVE YOU &amp; I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people &amp; u c miracle tomorrow, do it,pls,pls do it...",ham,0
I'm done oredi...,ham,0
Watching telugu movie..wat abt u?,ham,0
Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,ham,0
"Hey elaine, is today's meeting still on?",ham,0
"Good evening Sir, hope you are having a nice day. I wanted to bring it to your notice that I have been late in paying rent for the past few months and have had to pay a $ &lt;#&gt;  charge. I felt it would be inconsiderate of me to nag about something you give at great cost to yourself and that's why i didnt speak up. I however am in a recession and wont be able to pay the charge this month hence my askin well ahead of month's end. Can you please help. Thank you for everything.",ham,0
Shall i start from hear.,ham,0
Did u download the fring app?,ham,0
Yar lor... Keep raining non stop... Or u wan 2 go elsewhere?,ham,0
"Total disappointment, when I texted you was the craziest shit got :(",ham,0
UR awarded a City Break and could WIN a £200 Summer Shopping spree every WK. Txt STORE to 88039.SkilGme.TsCs087147403231Winawk!Age16+£1.50perWKsub,spam,1
"Sorry, my battery died, I can come by but I'm only getting a gram for now, where's your place?",ham,0
"Congrats! 2 mobile 3G Videophones R yours. call 09061744553 now! videochat wid ur mates, play java games, Dload polyH music, noline rentl. bx420. ip4. 5we. 150pm",spam,1
WHORE YOU ARE UNBELIEVABLE.,ham,0
Ü say until like dat i dun buy ericsson oso cannot oredi lar...,ham,0
Ringtone Club: Gr8 new polys direct to your mobile every week !,spam,1
Headin towards busetop,ham,0
"We have sent JD for Customer Service cum Accounts Executive to ur mail id, For details contact us",ham,0
Aight ill get on fb in a couple minutes,ham,0
U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901,spam,1
I emailed yifeng my part oredi.. Can ü get it fr him..,ham,0
IM LATE TELLMISS IM ON MY WAY,ham,0
TELL HER I SAID EAT SHIT.,ham,0
what I meant to say is cant wait to see u again getting bored of this bridgwater banter,ham,0
LOL ... No just was busy,ham,0
Dude got a haircut. Now its breezy up there,ham,0
"Sorry,in meeting I'll call later",ham,0
You are a winner you have been specially selected to receive £1000 cash or a £2000 award. Speak to a live operator to claim call 087147123779am-7pm. Cost 10p,spam,1
MY NEW YEARS EVE WAS OK. I WENT TO A PARTY WITH MY BOYFRIEND. WHO IS THIS SI THEN HEY,ham,0
"Just looked it up and addie goes back Monday, sucks to be her",ham,0
Boooo you always work. Just quit.,ham,0
No rushing. I'm not working. I'm in school so if we rush we go hungry.,ham,0
Looks like u wil b getting a headstart im leaving here bout 2.30ish but if u r desperate for my company I could head in earlier-we were goin to meet in rummer.,ham,0
Is ur lecture over?,ham,0
I‘m going to try for 2 months ha ha only joking,ham,0
How much are we getting?,ham,0
"&lt;#&gt;  is fast approaching. So, Wish u a very Happy New Year Happy Sankranti Happy republic day Happy Valentines Day Happy Shivratri Happy Ugadi Happy Fools day Happy May Day Happy Independence Day, Happy Friendship,Mother,Father,Teachers,Childrens Day, &amp; HAPPY BIRTHDAY 4 U. Happy Ganesh festival Happy Dasara Happy Diwali Happy Christmas  &lt;#&gt;  Good Mornings Afternoons, Evenings Nights. RememberI AM the first to WISHING U ALL THESE...your's Raj",ham,0
We can make a baby in yo tho,ham,0
"Damn, can you make it tonight or do you want to just wait til tomorrow",ham,0
Hey you told your name to gautham ah?,ham,0
So i asked how's anthony. Dad. And your bf,ham,0
Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,ham,0
"I didnt get ur full msg..sometext is missing, send it again",ham,0
"I dun thk i'll quit yet... Hmmm, can go jazz ? Yogasana oso can... We can go meet em after our lessons den... ",ham,0
I know I'm lacking on most of this particular dramastorm's details but for the most part I'm not worried about that,ham,0
"She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife,",ham,0
Otherwise had part time job na-tuition..,ham,0
Hi I'm sue. I am 20 years old and work as a lapdancer. I love sex. Text me live - I'm i my bedroom now. text SUE to 89555. By TextOperator G2 1DA 150ppmsg 18+,spam,1
Cause I'm not freaky lol,ham,0
sports fans - get the latest sports news str* 2 ur mobile 1 wk FREE PLUS a FREE TONE Txt SPORT ON to 8007 www.getzed.co.uk 0870141701216+ norm 4txt/120p ,spam,1
I have to take exam with march 3,ham,0
I cant pick the phone right now. Pls send a message,ham,0
&lt;#&gt;  great loxahatchee xmas tree burning update: you can totally see stars here,ham,0
Did you show him and wot did he say or could u not c him 4 dust?,ham,0
"That's very rude, you on campus?",ham,0
Its too late:)but its k.wish you the same.,ham,0
"Hi, the SEXYCHAT girls are waiting for you to text them. Text now for a great night chatting. send STOP to stop this service",spam,1
Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,ham,0
So u workin overtime nigpun?,ham,0
"naughty little thought: 'its better to flirt, flirt n flirt, rather than loving someone n gettin hurt, hurt n hurt...:-) Gud nyt",ham,0
Dad went out oredi... ,ham,0
Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com,ham,0
Package all your programs well,ham,0
"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8",ham,0
Oh k:)after that placement there ah?,ham,0
Play w computer? Aiyah i tok 2 u lor?,ham,0
Tell me pa. How is pain de.,ham,0
"URGENT! Your mobile number *************** WON a £2000 Bonus Caller prize on 10/06/03! This is the 2nd attempt to reach you! Call 09066368753 ASAP! Box 97N7QP, 150ppm",spam,1
I just made some payments so dont have that much. Sorry. Would you want it fedex or the other way.,ham,0
"REMINDER FROM O2: To get 2.50 pounds free call credit and details of great offers pls reply 2 this text with your valid name, house no and postcode",spam,1
I've reached sch already...,ham,0
"Yeah, don't go to bed, I'll be back before midnight",ham,0
We are supposed to meet to discuss abt our trip... Thought xuhui told you? In the afternoon. Thought we can go for lesson after that,ham,0
Good morning. At the repair shop--the ONLY reason i'm up at this hour.,ham,0
Good Morning my Dear Shijutta........... Have a great &amp; successful day.,ham,0
Were gonna go get some tacos,ham,0
Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng,ham,0
Would you like to see my XXX pics they are so hot they were nearly banned in the uk!,spam,1
We r outside already.,ham,0
Ha ha cool cool chikku chikku:-):-DB-),ham,0
"Whatever, juliana. Do whatever you want.",ham,0
No:-)i got rumour that you going to buy apartment in chennai:-),ham,0
"Our dating service has been asked 2 contact U by someone shy! CALL 09058091870 NOW all will be revealed. POBox84, M26 3UZ 150p",spam,1
Some of them told accenture is not confirm. Is it true.,ham,0
Haha... dont be angry with yourself... Take it as a practice for the real thing. =) ,ham,0
"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . .",ham,0
Amazing : If you rearrange these letters it gives the same meaning... Dormitory = Dirty room Astronomer = Moon starer The eyes = They see Election results = Lies lets recount Mother-in-law = Woman Hitler Eleven plus two =Twelve plus one Its Amazing... !:-),ham,0
Oh thanks a lot..i already bought 2 eggs ..,ham,0
He said i look pretty wif long hair wat. But i thk he's cutting quite short 4 me leh.,ham,0
"Probably, want to pick up more?",ham,0
I wont. So wat's wit the guys,ham,0
I wan but too early lei... Me outside now wun b home so early... Neva mind then...,ham,0
"I've got ten bucks, jay is being noncomittal",ham,0
Hi there. We have now moved in2 our pub . Would be great 2 c u if u cud come up.,ham,0
"Thank You for calling.Forgot to say Happy Onam to you Sirji.I am fine here and remembered you when i met an insurance person.Meet You in Qatar Insha Allah.Rakhesh, ex Tata AIG who joined TISSCO,Tayseer.",ham,0
"wiskey Brandy Rum Gin Beer Vodka Scotch Shampain Wine ""KUDI""yarasu dhina vaazhthukkal. ..",ham,0
I am late. I will be there at,ham,0
"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",ham,0
Hello my little party animal! I just thought I'd buzz you as you were with your friends ...*grins*... Reminding you were loved and send a naughty adoring kiss,ham,0
No. Yes please. Been swimming?,ham,0
* Am on a train back from northampton so i'm afraid not!,ham,0
Happy new year to u too!,ham,0
Hi dis is yijue i would be happy to work wif ü all for gek1510...,ham,0
Ball is moving a lot.will spin in last :)so very difficult to bat:),ham,0
I'm in a movie... Collect car oredi...,ham,0
You busy or can I come by at some point and figure out what we're doing tomorrow,ham,0
Orh i tot u say she now still dun believe.,ham,0
"She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife,",ham,0
You best watch what you say cause I get drunk as a motherfucker,ham,0
"When you get free, call me",ham,0
Reckon need to be in town by eightish to walk from * carpark.,ham,0
Detroit. The home of snow. Enjoy it.,ham,0
You are right. Meanwhile how's project twins comin up,ham,0
Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,ham,0
WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,spam,1
I'm on the bus. Love you,ham,0
No need for the drug anymore.,ham,0
"How about clothes, jewelry, and trips?",ham,0
"Yes but i dont care! I need you bad, princess!",ham,0
Also hi wesley how've you been,ham,0
Not tonight mate. Catching up on some sleep. This is my new number by the way. ,ham,0
on a Tuesday night r u 4 real,ham,0
Is toshiba portege m100 gd?,ham,0
"Awesome, think we can get an 8th at usf some time tonight?",ham,0
"&lt;#&gt; %of pple marry with their lovers... becz they hav gud undrstndng dat avoids problems. i sent dis 2 u, u wil get gud news on friday by d person you like. And tomorrow will be the best day of your life. Dont break this chain. If you break you will suffer. send this to  &lt;#&gt;  frnds in &lt;#&gt;  mins whn u read...",ham,0
R ü going 4 today's meeting?,ham,0
Umma my life and vava umma love you lot dear,ham,0
Tell your friends what you plan to do on Valentines day @ &lt;URL&gt;,ham,0
Now project pa. After that only i can come.,ham,0
Call me when u're done...,ham,0
U studying in sch or going home? Anyway i'll b going 2 sch later.,ham,0
Ha ha ha good joke. Girls are situation seekers.,ham,0
Alright took the morphine. Back in yo.,ham,0
No way I'm going back there!,ham,0
"I think your mentor is , but not 100 percent sure.",ham,0
Me too watching surya movie only. . .after 6 pm vijay movie POKKIRI,ham,0
No drama Pls.i have had enough from you and family while i am struggling in the hot sun in a strange place.No reason why there should be an ego of not going 'IF NOT INVITED' when actually its necessity to go.wait for very serious reppurcussions.,ham,0
Really... I tot ur paper ended long ago... But wat u copied jus now got use? U happy lar... I still haf 2 study :-(,ham,0
Customer place i will call you.,ham,0
"K, if u bored up just come to my home..",ham,0
G wants to know where the fuck you are,ham,0
Thanx 4 2day! U r a goodmate I THINK UR RITE SARY! ASUSUAL!1 U CHEERED ME UP! LOVE U FRANYxxxxx,ham,0
Do have a nice day today. I love you so dearly.,ham,0
"Can you tell Shola to please go to college of medicine and visit the academic department, tell the academic secretary what the current situation is and ask if she can transfer there. She should ask someone to check Sagamu for the same thing and lautech. Its vital she completes her medical education in Nigeria. Its less expensive much less expensive. Unless she will be getting citizen rates in new zealand.",ham,0
No did you check? I got his detailed message now,ham,0
I might come to kerala for 2 days.so you can be prepared to take a leave once i finalise .dont plan any travel during my visit.need to finish urgent works.,ham,0
I am on the way to ur home,ham,0
Wat time do u wan 2 meet me later?,ham,0
"Yeah, I'll leave in a couple minutes &amp; let you know when I get to mu",ham,0
Gud mrng dear hav a nice day,ham,0
Jus ans me lar. U'll noe later.,ham,0
I am in tirupur.  call you da.,ham,0
"Hello. No news on job, they are making me wait a fifth week! Yeah im up for some woozles and weasels... In exeter still, but be home about 3. ",ham,0
"Mila, age23, blonde, new in UK. I look sex with UK guys. if u like fun with me. Text MTALK to 69866.18 . 30pp/txt 1st 5free. £1.50 increments. Help08718728876",spam,1
"Hi , where are you? We're at  and they're not keen to go out i kind of am but feel i shouldn't so can we go out tomo, don't mind do you?",ham,0
Kit Strip - you have been billed 150p. Netcollex Ltd. PO Box 1013 IG11 OJA,spam,1
Hi dear we saw dear. We both are happy. Where you my battery is low,ham,0
I absolutely LOVE South Park! I only recently started watching the office.,ham,0
"Ok omw now, you at castor?",ham,0
I am in office:)whats the matter..msg me now.i will call you at break:).,ham,0
Ok,ham,0
There's no point hangin on to mr not right if he's not makin u happy,ham,0
The greatest test of courage on earth is to bear defeat without losing heart....gn tc,ham,0
Lol your always so convincing.,ham,0
I just cooked a rather nice salmon a la you,ham,0
No that just means you have a fat head,ham,0
Hey... Why dont we just go watch x men and have lunch... Haha ,ham,0
I am thinking of going down to reg for pract lessons.. Flung my advance.. Haha wat time u going?,ham,0
"HOT LIVE FANTASIES call now 08707500020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call",spam,1
Do you still have the grinder?,ham,0
"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",spam,1
Wat's da model num of ur phone?,ham,0
"Customer service announcement. We recently tried to make a delivery to you but were unable to do so, please call 07099833605 to re-schedule. Ref:9280114",spam,1
Oh yes I can speak txt 2 u no! Hmm. Did u get  email?,ham,0
V skint too but fancied few bevies.waz gona go meet &othrs in spoon but jst bin watchng planet earth&sofa is v comfey; If i dont make it hav gd night,ham,0
Rats. Hey did u ever vote for the next themes?,ham,0
I wanted to ask ü to wait 4 me to finish lect. Cos my lect finishes in an hour anyway.,ham,0
Does she usually take fifteen fucking minutes to respond to a yes or no question,ham,0
PRIVATE! Your 2003 Account Statement for 07808 XXXXXX shows 800 un-redeemed S. I. M. points. Call 08719899217 Identifier Code: 41685 Expires 07/11/04,spam,1
Pls speak with me. I wont ask anything other then you friendship.,ham,0
Free Top ringtone -sub to weekly ringtone-get 1st week free-send SUBPOLY to 81618-?3 per week-stop sms-08718727870,spam,1
You've already got a flaky parent. It'snot supposed to be the child's job to support the parent...not until they're The Ride age anyway. I'm supposed to be there to support you. And now i've hurt you. unintentional. But hurt nonetheless.,ham,0
Can. Dunno wat to get 4 her...,ham,0
Home so we can always chat,ham,0
"This is the 2nd time we have tried to contact u. U have won the £400 prize. 2 claim is easy, just call 087104711148 NOW! Only 10p per minute. BT-national-rate",spam,1
"Haven't found a way to get another app for your phone, eh ? Will you go to the net cafe ? Did you take that job? Geeee I need you babe. I crave to see you ...",ham,0
That seems unnecessarily hostile,ham,0
I need to come home and give you some good lovin...,ham,0
"I'm eatin now lor, but goin back to work soon... E mountain deer show huh... I watch b4 liao, very nice...",ham,0
K sure am in my relatives home. Sms me de. Pls:-),ham,0
Sweet heart how are you?,ham,0
"Hello my boytoy ... Geeee I miss you already and I just woke up. I wish you were here in bed with me, cuddling me. I love you ...",ham,0
"Maybe westshore or hyde park village, the place near my house?",ham,0
All these nice new shirts and the only thing I can wear them to is nudist themed ;_; you in mu?,ham,0
Have you started in skye,ham,0
You could have seen me..i did't recognise you Face.:),ham,0
8007 25p 4 Alfie Moon's Children in Need song on ur mob. Tell ur m8s. Txt TONE CHARITY to 8007 for nokias or POLY CHARITY for polys :zed 08701417012 profit 2 charity ,spam,1
Hello. We need some posh birds and chaps to user trial prods for champneys. Can i put you down? I need your address and dob asap. Ta r,spam,1
Urgent! Please call 09061213237 from a landline. £5000 cash or a 4* holiday await collection. T &Cs SAE PO Box 177 M227XY. 16+,spam,1
I'm now but have to wait till 2 for the bus to pick me.,ham,0
Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,ham,0
Ok. I only ask abt e movie. U wan ktv oso?,ham,0
Aiyah u did ok already lar. E nydc at wheellock?,ham,0
Yun buying... But school got offer 2000 plus only...,ham,0
Ur HMV Quiz cash-balance is currently £500 - to maximize ur cash-in now send HMV1 to 86688 only 150p/msg,spam,1
U have won a nokia 6230 plus a free digital camera. This is what u get when u win our FREE auction. To take part send NOKIA to 83383 now. POBOX114/14TCR/W1 16,spam,1
"Dear friends, sorry for the late information. Today is the birthday of our loving Ar.Praveesh. for more details log on to face book and see. Its his number + &lt;#&gt; . Dont miss a delicious treat.",ham,0
I'm aight. Wat's happening on your side.,ham,0
"Save yourself the stress. If the person has a dorm account, just send your account details and the money will be sent to you.",ham,0
"I know dat feelin had it with Pete! Wuld get with em , nuther place nuther time mayb?",ham,0
We confirm eating at esplanade?,ham,0
Anything lor but toa payoh got place 2 walk meh...,ham,0
